standardName,state,year,month,period,main,costCenterMain,costCenterMainDesc,name1,name3,name5,obj1,obj2,obj3,obj4,obj6,name5desc,obj4desc,obj6desc,gfs2,gfs3,gfs4,gfs2desc,gfs3desc,gfs4Desc,originalBudget,totalBudget,actual
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,111,1111,111101,,,,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,3413022.528,3413022.528,2287.134433
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,111,1111,111102,,,,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,1067082.24,1067082.24,7519.295567
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,111,1112,111201,,,,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,533541.1199,533541.1199,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,111,1112,111204,,,,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,53354.11199,53354.11199,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1149,114901,,,,11,114,1142,Taxes,Taxes on goods & services,Excise taxes,500000,500000,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1149,114902,,,,11,114,1142,Taxes,Taxes on goods & services,Excise taxes,500000,500000,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1141,114111,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1141,114114,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1141,114118,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1141,114107,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,18750000,18750000,65000
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1141,114108,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,3125000,3125000,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1141,114109,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1953125,1953125,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,114,1141,114110,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1171875,1171875,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,116,1161,116104,,,,11,114,1145,Taxes,Taxes on goods & services,Taxes on use of goods and on permission to use goods or perform activities,3496919.965,3496919.965,38052.48164
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,116,1161,116105,,,,11,114,1145,Taxes,Taxes on goods & services,Taxes on use of goods and on permission to use goods or perform activities,623080.0347,623080.0347,1594.518355
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115101,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2941257.339,2941257.339,700292.7732
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115102,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3795170.76,3795170.76,17549.68694
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115103,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,4364446.374,4364446.374,331781.9349
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115104,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2087343.918,2087343.918,204085.6485
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115106,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,71996.74313
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115108,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2846378.07,2846378.07,260487.3582
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115109,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3036136.608,3036136.608,161120.9574
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115110,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1897585.38,1897585.38,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115111,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2846378.07,2846378.07,179657.5649
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115112,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3225895.146,3225895.146,116805.6587
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115113,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1992464.649,1992464.649,196175.5961
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115114,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115115,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2277102.456,2277102.456,12666.4747
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115116,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1897585.38,1897585.38,115324.9424
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115117,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3624388.075,3624388.075,4356.569567
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115118,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2324542.09,2324542.09,12711.07572
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115119,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2850173.24,2850173.24,8077.561196
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115120,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2466860.994,2466860.994,160484.2166
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115121,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3225895.146,3225895.146,170621.8868
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115122,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3036136.608,3036136.608,391795.549
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115123,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1897585.38,1897585.38,63663.86659
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115124,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2134783.552,2134783.552,9401.825025
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1151,115125,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,400714.071
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,11,115,1152,115201,,,,11,115,1156,Taxes,Taxes on international trade and transactions,Other taxes on international trade and transactions,9108409.823,9108409.823,715620.0395
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,14,142,1421,142101,,,,14,142,1422,Other revenue,Sales of goods and services,Administrative fees,329930.567,329930.567,873.0760986
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,14,142,1422,142201,,,,14,142,1422,Other revenue,Sales of goods and services,Administrative fees,1386235.939,1386235.939,69766.47609
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,14,142,1425,142501,,,,14,142,1422,Other revenue,Sales of goods and services,Administrative fees,5560046.394,5560046.394,251045.4478
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,132,1322,132209,,,,13,132,1322,Grants,From international organizations,Capital,,,2800.880925
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,132,1322,132202,,,,13,132,1322,Grants,From international organizations,Capital,12000000,12000000,23768.67606
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,132,1322,132205,,,,13,132,1322,Grants,From international organizations,Capital,25000000,25000000,9242.861678
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,131,1312,131201,,,,13,131,1312,Grants,From foreign governments,Capital,,,1257.224419
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,131,1311,131105,,,,13,131,1311,Grants,From foreign governments,Current,10000000,10000000,
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,131,1311,131105,,,,13,131,1311,Grants,From foreign governments,Current,17000000,17000000,5454.158786
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,132,1322,132203,,,,13,132,1322,Grants,From international organizations,Capital,7300000,7300000,12093.16751
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,132,1324,132404,,,,13,132,1322,Grants,From international organizations,Capital,1887000,1887000,546.2053909
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,132,1321,132101,,,,13,132,1321,Grants,From international organizations,Current,,,21434.80561
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,132,1321,132112,,,,13,132,1321,Grants,From international organizations,Current,,,480.3510786
dbSomaliaFgsRevExp,fgs,2014,Jan,2014-01,Revenue,,,,,,1,13,131,1312,131201,,,,13,131,1312,Grants,From foreign governments,Capital,,,15198.66855
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,111,1111,111101,,,,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,3413022.528,3413022.528,39939.35561
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,111,1111,111102,,,,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,1067082.24,1067082.24,15145.16439
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,111,1112,111201,,,,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,533541.1199,533541.1199,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,111,1112,111204,,,,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,53354.11199,53354.11199,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1149,114901,,,,11,114,1142,Taxes,Taxes on goods & services,Excise taxes,500000,500000,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1149,114902,,,,11,114,1142,Taxes,Taxes on goods & services,Excise taxes,500000,500000,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1141,114111,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1141,114114,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1141,114118,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1141,114107,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,18750000,18750000,65000
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1141,114108,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,3125000,3125000,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1141,114109,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1953125,1953125,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,114,1141,114110,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1171875,1171875,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,116,1161,116104,,,,11,114,1145,Taxes,Taxes on goods & services,Taxes on use of goods and on permission to use goods or perform activities,3496919.965,3496919.965,46666.55234
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,116,1161,116105,,,,11,114,1145,Taxes,Taxes on goods & services,Taxes on use of goods and on permission to use goods or perform activities,623080.0347,623080.0347,3696.447662
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115101,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2941257.339,2941257.339,252435.5589
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115102,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3795170.76,3795170.76,61659.44886
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115103,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,4364446.374,4364446.374,488444.8996
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115104,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2087343.918,2087343.918,654273.4097
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115106,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,47.28863095
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115108,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2846378.07,2846378.07,110644.5594
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115109,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3036136.608,3036136.608,233479.0147
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115110,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1897585.38,1897585.38,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115111,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2846378.07,2846378.07,222369.2306
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115112,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3225895.146,3225895.146,223296.009
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115113,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1992464.649,1992464.649,146669.7281
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115114,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,68564.49534
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115115,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2277102.456,2277102.456,4001.800394
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115116,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1897585.38,1897585.38,162414.3202
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115117,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3624388.075,3624388.075,6042.275264
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115118,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2324542.09,2324542.09,13287.21863
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115119,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2850173.24,2850173.24,4462.864546
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115120,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2466860.994,2466860.994,202774.3785
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115121,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3225895.146,3225895.146,202937.9381
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115122,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3036136.608,3036136.608,458367.2319
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115123,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1897585.38,1897585.38,110878.0274
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115124,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2134783.552,2134783.552,30474.18289
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1151,115125,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,974419.1948
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,11,115,1152,115201,,,,11,115,1156,Taxes,Taxes on international trade and transactions,Other taxes on international trade and transactions,9108409.823,9108409.823,394071.9246
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,14,142,1421,142101,,,,14,142,1422,Other revenue,Sales of goods and services,Administrative fees,329930.567,329930.567,6266.948263
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,14,142,1422,142201,,,,14,142,1422,Other revenue,Sales of goods and services,Administrative fees,1386235.939,1386235.939,106279.507
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,14,142,1425,142501,,,,14,142,1422,Other revenue,Sales of goods and services,Administrative fees,5560046.394,5560046.394,409438.5447
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,132,1322,132209,,,,13,132,1322,Grants,From international organizations,Capital,,,244539.186
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,132,1322,132202,,,,13,132,1322,Grants,From international organizations,Capital,12000000,12000000,2075194.501
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,132,1322,132205,,,,13,132,1322,Grants,From international organizations,Capital,25000000,25000000,806975.3521
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,131,1312,131201,,,,13,131,1312,Grants,From foreign governments,Capital,,,109765.6931
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,131,1311,131105,,,,13,131,1311,Grants,From foreign governments,Current,10000000,10000000,
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,131,1311,131105,,,,13,131,1311,Grants,From foreign governments,Current,17000000,17000000,476191.4503
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,132,1322,132203,,,,13,132,1322,Grants,From international organizations,Capital,7300000,7300000,1055829.725
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,132,1324,132404,,,,13,132,1322,Grants,From international organizations,Capital,1887000,1887000,47688.07573
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,132,1321,132101,,,,13,132,1321,Grants,From international organizations,Current,,,1871429.045
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,132,1321,132112,,,,13,132,1321,Grants,From international organizations,Current,,,41938.47039
dbSomaliaFgsRevExp,fgs,2014,Feb,2014-02,Revenue,,,,,,1,13,131,1312,131201,,,,13,131,1312,Grants,From foreign governments,Capital,,,1326964.67
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,111,1111,111101,,,,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,3413022.528,3413022.528,34236.08408
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,111,1111,111102,,,,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,1067082.24,1067082.24,5967.436084
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,111,1112,111201,,,,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,533541.1199,533541.1199,33645.45984
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,111,1112,111204,,,,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,53354.11199,53354.11199,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1149,114901,,,,11,114,1142,Taxes,Taxes on goods & services,Excise taxes,500000,500000,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1149,114902,,,,11,114,1142,Taxes,Taxes on goods & services,Excise taxes,500000,500000,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1141,114111,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1141,114114,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1141,114118,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1278757.413,1278757.413,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1141,114107,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,18750000,18750000,65000
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1141,114108,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,3125000,3125000,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1141,114109,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1953125,1953125,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,114,1141,114110,,,,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,1171875,1171875,
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,116,1161,116104,,,,11,114,1145,Taxes,Taxes on goods & services,Taxes on use of goods and on permission to use goods or perform activities,3496919.965,3496919.965,59775.13558
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,116,1161,116105,,,,11,114,1145,Taxes,Taxes on goods & services,Taxes on use of goods and on permission to use goods or perform activities,623080.0347,623080.0347,8337.864423
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115101,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2941257.339,2941257.339,963669.2438
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115102,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3795170.76,3795170.76,56120.19615
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115103,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,4364446.374,4364446.374,415968.1047
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115104,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2087343.918,2087343.918,-361852.5586
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115106,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,28710.19543
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115108,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2846378.07,2846378.07,-72517.37624
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115109,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3036136.608,3036136.608,272842.8027
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115110,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1897585.38,1897585.38,209255.202
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115111,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2846378.07,2846378.07,190275.2744
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115112,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,3225895.146,3225895.146,151475.8606
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115113,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1992464.649,1992464.649,169151.5789
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115114,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,1707826.842,1707826.842,88625.06379
dbSomaliaFgsRevExp,fgs,2014,Mar,2014-03,Revenue,,,,,,1,11,115,1151,115115,,,,11,115,1151,Taxes,Taxes on international trade and transactions,Customs and other import duties,2277102.456,2277102.456,45153.89606
